created,number,category,description,closure_notes
2/3/24 14:35,INC2071326,Hardware Issues,Screen flickering,Resolved after troubleshooting
2/9/24 22:38,INC5934813,Network Problems,Slow internet speeds,Escalated to higher tier
1/23/24 9:40,INC8222135,Login Issues,Unable to login to system,User guided through steps
3/16/24 14:48,INC8474116,VPN Issues,VPN not connecting,User guided through steps
2/12/24 17:02,INC5242403,Email Problems,Spam filter blocking legitimate emails,Resolved after troubleshooting
1/20/24 15:23,INC7965029,Login Issues,Password reset required,Escalated to higher tier
1/23/24 22:30,INC3823600,Network Problems,No internet connection,User guided through steps
2/14/24 5:21,INC5897601,Email Problems,Not receiving email,User guided through steps
2/2/24 22:37,INC5858578,Email Problems,Cannot send email,Resolved after troubleshooting
3/1/24 7:18,INC8034334,Hardware Issues,Printer not printing,Resolved after troubleshooting
2/29/24 8:10,INC7601358,Network Problems,Slow internet speeds,Hardware replaced
2/23/24 5:49,INC9044087,Network Problems,WiFi keeps disconnecting,Escalated to higher tier
1/1/24 17:24,INC6714730,Network Problems,Network drive not accessible,Escalated to higher tier
1/22/24 1:18,INC5211608,VPN Issues,Unable to access certain sites over VPN,Escalated to higher tier
1/1/24 6:40,INC7616866,Application Issues,Feature not working as expected,Resolved after troubleshooting
1/16/24 16:46,INC9726798,Network Problems,Network drive not accessible,Resolved after troubleshooting
1/6/24 11:07,INC9001033,Hardware Issues,Screen flickering,Resolved after troubleshooting
2/20/24 11:04,INC6044688,Hardware Issues,Screen flickering,User guided through steps
2/9/24 23:20,INC2481154,VPN Issues,VPN connection dropping frequently,Hardware replaced
1/15/24 16:04,INC2372120,Email Problems,Spam filter blocking legitimate emails,User guided through steps
1/17/24 15:11,INC1577571,VPN Issues,Slow VPN connection speeds,Resolved after troubleshooting
3/4/24 2:30,INC9593060,Login Issues,Two-factor authentication not working,Hardware replaced
2/22/24 6:00,INC4312268,Hardware Issues,Printer not printing,User guided through steps
2/26/24 15:13,INC2019437,VPN Issues,VPN not connecting,Resolved after troubleshooting
2/2/24 7:44,INC4506713,Login Issues,Unable to login to system,User guided through steps
1/22/24 13:56,INC5227213,Login Issues,Account locked out,User guided through steps
2/24/24 3:12,INC1260509,VPN Issues,VPN not connecting,User guided through steps
3/5/24 11:31,INC7737896,VPN Issues,VPN connection dropping frequently,User guided through steps
2/18/24 0:51,INC7541426,Network Problems,No internet connection,Escalated to higher tier
2/14/24 8:29,INC2809131,Network Problems,WiFi keeps disconnecting,Escalated to higher tier
3/5/24 16:48,INC1572775,Email Problems,Spam filter blocking legitimate emails,User guided through steps
2/21/24 12:44,INC5964873,Email Problems,Email attachment too large,Hardware replaced
2/14/24 22:26,INC6493070,Network Problems,Network drive not accessible,Escalated to higher tier
2/2/24 17:05,INC6089760,Hardware Issues,Keyboard keys not working,Hardware replaced
2/29/24 16:12,INC6763001,Login Issues,Unable to login to system,Resolved after troubleshooting
2/27/24 17:42,INC8617837,Email Problems,Cannot send email,User guided through steps
1/22/24 3:26,INC7243615,VPN Issues,Slow VPN connection speeds,Resolved after troubleshooting
3/16/24 14:13,INC9116430,Login Issues,Account locked out,User guided through steps
1/24/24 13:06,INC5972362,Email Problems,Spam filter blocking legitimate emails,User guided through steps
1/24/24 23:04,INC3597036,Login Issues,Account locked out,User guided through steps
2/20/24 16:08,INC8404538,Login Issues,Account locked out,Hardware replaced
3/2/24 8:29,INC3814197,Network Problems,Slow internet speeds,User guided through steps
3/12/24 4:45,INC2128747,VPN Issues,VPN connection dropping frequently,Hardware replaced
2/26/24 0:48,INC5155711,Hardware Issues,Keyboard keys not working,Escalated to higher tier
1/18/24 12:25,INC3460826,Login Issues,Account locked out,Hardware replaced
2/10/24 21:34,INC9145794,VPN Issues,VPN not connecting,Hardware replaced
3/6/24 15:04,INC7051795,VPN Issues,Slow VPN connection speeds,User guided through steps
1/13/24 15:51,INC6691324,VPN Issues,VPN not connecting,User guided through steps
1/19/24 4:39,INC2826961,Hardware Issues,Printer not printing,Resolved after troubleshooting
1/14/24 21:18,INC8249852,VPN Issues,Unable to access certain sites over VPN,Escalated to higher tier
2/3/24 9:22,INC3079275,Hardware Issues,Keyboard keys not working,User guided through steps
2/12/24 10:40,INC9014428,VPN Issues,VPN not connecting,User guided through steps
2/7/24 9:54,INC3961915,Application Issues,Application crashing on start,User guided through steps
2/23/24 14:32,INC1325452,VPN Issues,Unable to access certain sites over VPN,Hardware replaced
2/19/24 17:15,INC1378314,VPN Issues,VPN not connecting,Hardware replaced
1/22/24 0:12,INC9603180,Hardware Issues,Computer not turning on,Resolved after troubleshooting
1/22/24 0:35,INC3084648,Hardware Issues,Keyboard keys not working,Escalated to higher tier
3/11/24 9:25,INC1374761,Email Problems,Cannot send email,Escalated to higher tier
2/18/24 22:46,INC2942093,VPN Issues,VPN connection dropping frequently,Resolved after troubleshooting
1/15/24 7:49,INC1405654,Email Problems,Cannot send email,User guided through steps
2/7/24 21:50,INC5858567,VPN Issues,VPN connection dropping frequently,Resolved after troubleshooting
1/6/24 4:52,INC5443708,Network Problems,Network drive not accessible,Escalated to higher tier
3/11/24 2:17,INC3590691,Hardware Issues,Computer not turning on,User guided through steps
1/29/24 19:34,INC5670041,Network Problems,Slow internet speeds,User guided through steps
1/27/24 23:17,INC4621604,Login Issues,Two-factor authentication not working,Hardware replaced
1/17/24 2:52,INC7574198,Email Problems,Not receiving email,Resolved after troubleshooting
3/12/24 19:48,INC4997246,VPN Issues,VPN not connecting,User guided through steps
3/16/24 14:48,INC2455614,Hardware Issues,Screen flickering,User guided through steps
1/19/24 3:10,INC3605097,Network Problems,Network drive not accessible,Resolved after troubleshooting
1/26/24 12:02,INC7784167,Application Issues,Feature not working as expected,Hardware replaced
3/14/24 18:38,INC9678604,Email Problems,Cannot send email,Resolved after troubleshooting
3/15/24 22:13,INC4716288,Login Issues,Unable to login to system,Resolved after troubleshooting
1/17/24 3:02,INC5930874,VPN Issues,VPN connection dropping frequently,Escalated to higher tier
3/3/24 6:40,INC3260576,Application Issues,Error message displayed in application,Hardware replaced
1/19/24 17:41,INC9427306,Application Issues,Error message displayed in application,Escalated to higher tier
2/1/24 18:01,INC3179007,Network Problems,Slow internet speeds,Hardware replaced
2/29/24 7:14,INC6816569,Hardware Issues,Computer not turning on,User guided through steps
3/7/24 18:09,INC8810144,Login Issues,Password reset required,User guided through steps
2/2/24 10:48,INC5861743,VPN Issues,VPN connection dropping frequently,Hardware replaced
2/23/24 12:42,INC7864032,Hardware Issues,Screen flickering,Resolved after troubleshooting
1/22/24 4:41,INC3560820,VPN Issues,Unable to access certain sites over VPN,Resolved after troubleshooting
1/30/24 21:21,INC7540235,Hardware Issues,Keyboard keys not working,Resolved after troubleshooting
1/20/24 20:43,INC8295628,Hardware Issues,Printer not printing,User guided through steps
1/21/24 18:49,INC9427716,Network Problems,Slow internet speeds,Hardware replaced
2/16/24 5:25,INC1030062,Login Issues,Account locked out,Escalated to higher tier
2/10/24 13:16,INC1498375,VPN Issues,Unable to access certain sites over VPN,User guided through steps
1/5/24 7:30,INC2531837,Hardware Issues,Computer not turning on,Escalated to higher tier
1/9/24 19:34,INC4763384,Network Problems,Slow internet speeds,User guided through steps
2/3/24 22:25,INC8474661,Network Problems,Slow internet speeds,Resolved after troubleshooting
1/31/24 2:47,INC6659706,Email Problems,Cannot send email,Hardware replaced
3/2/24 8:49,INC3197513,VPN Issues,Slow VPN connection speeds,Escalated to higher tier
3/10/24 22:04,INC2846316,Hardware Issues,Keyboard keys not working,Hardware replaced
3/8/24 9:22,INC4708684,Network Problems,Network drive not accessible,Resolved after troubleshooting
2/4/24 13:01,INC9343624,Email Problems,Cannot send email,User guided through steps
1/19/24 7:30,INC2063818,Login Issues,Two-factor authentication not working,Resolved after troubleshooting
2/3/24 16:41,INC4584957,VPN Issues,Unable to access certain sites over VPN,Escalated to higher tier
1/30/24 13:34,INC2024938,Login Issues,Two-factor authentication not working,User guided through steps
1/26/24 19:20,INC8785966,Email Problems,Email attachment too large,Hardware replaced
3/17/24 4:31,INC8833847,Hardware Issues,Screen flickering,Escalated to higher tier
1/18/24 2:59,INC9488327,Login Issues,Unable to login to system,Resolved after troubleshooting
2/14/24 18:14,INC3553629,Hardware Issues,Printer not printing,Escalated to higher tier
1/24/24 13:28,INC4816529,VPN Issues,Slow VPN connection speeds,Resolved after troubleshooting
1/6/24 0:57,INC8275405,Network Problems,WiFi keeps disconnecting,Escalated to higher tier
2/21/24 7:56,INC8666478,Login Issues,Unable to login to system,Hardware replaced
2/24/24 17:28,INC9470482,Email Problems,Email attachment too large,Resolved after troubleshooting
2/14/24 11:57,INC5849027,VPN Issues,VPN not connecting,User guided through steps
2/12/24 0:55,INC4664067,Network Problems,No internet connection,User guided through steps
1/15/24 19:39,INC9739597,Network Problems,Slow internet speeds,Resolved after troubleshooting
2/27/24 4:34,INC8847697,Hardware Issues,Computer not turning on,Escalated to higher tier
1/19/24 20:44,INC7837214,Application Issues,Application running very slowly,User guided through steps
2/25/24 15:05,INC9916081,VPN Issues,Slow VPN connection speeds,Escalated to higher tier
